City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
473,Peniche,PT,39.3558,-9.3811,66.61,92,100,6.4,overcast clouds
474,Eyl,SO,7.9803,49.8164,80.13,71,80,17.58,broken clouds
475,Presidente Medici,BR,-11.1753,-61.9014,83.41,54,82,1.52,broken clouds
476,Zverinogolovskoye,RU,54.4586,64.8542,40.77,49,100,23.11,overcast clouds
477,Gladstone,AU,-23.85,151.25,79.79,60,75,16.11,broken clouds
478,Kysyl-Syr,RU,63.8986,122.7617,33.03,80,99,8.55,overcast clouds
479,Meulaboh,ID,4.1363,96.1285,75.16,90,100,4.99,overcast clouds
480,Abalak,RU,58.1286,68.5944,29.32,92,16,7.25,few clouds
481,Altay,CN,47.8667,88.1167,36.45,42,80,2.59,broken clouds
482,Karatu,TZ,-3.3333,35.6667,60.49,67,40,4.52,scattered clouds
483,Turukhansk,RU,65.8167,87.9833,33.06,85,34,6.2,scattered clouds
484,Phan Thiet,VN,10.9333,108.1,78.55,86,70,5.19,broken clouds
485,Tahe,CN,52.3333,124.7333,55.67,84,83,8.97,broken clouds
486,Grand Gaube,MU,-20.0064,57.6608,68.38,90,58,11.99,light rain
487,Srednekolymsk,RU,67.45,153.6833,33.67,97,100,17.25,light rain
488,Bagdarin,RU,54.4333,113.6,36.66,73,98,5.39,overcast clouds
489,Joao Pinheiro,BR,-17.7425,-46.1725,72.39,58,56,12.15,broken clouds
490,Port Pirie,AU,-33.1833,138.0167,71.69,23,56,9.28,broken clouds
491,Immokalee,US,26.4187,-81.4173,85.91,75,1,9.22,clear sky
